Feature,Coefficient,P>|t|,Culture,Character_Pair
discrep,0.012622871585497398,0.0018022959105861895,Iran,Father and Daughter
sad,0.009178946099772687,0.035177069504587384,Iran,Father and Daughter
adverb,0.007870336606093523,0.007032881851231503,Iran,Father and Daughter
filler,0.006208217858801808,0.0056490039621526,Iran,Father and Daughter
tentat,0.006136874818312152,0.045524258280270374,Iran,Father and Daughter
swear,-0.0055718653916813675,0.017798875114797996,Iran,Father and Daughter
netspeak,-0.007985486555864478,0.002612895371547922,Iran,Father and Daughter
achiev,-0.008091936207485507,0.019924219681869363,Iran,Father and Daughter
certain,-0.008724530286354958,0.008712185933345223,Iran,Father and Daughter
focusfuture,-0.009448140732299213,0.002771310517539423,Iran,Father and Daughter
prep,-0.009777724528539481,0.03697940547378084,Iran,Father and Daughter
interrog,-0.011734323608521896,8.788603760102827e-05,Iran,Father and Daughter
friend,-0.013999142202371395,0.024857431221486048,Iran,Father and Daughter
nonflu,-0.016986694176581503,0.0012123646831125004,Iran,Father and Daughter
motion,-0.017363940175837315,0.046759818471051054,Iran,Father and Daughter
verb,-0.02190466936486378,0.024916781400794747,Iran,Father and Daughter
time,-0.023697644984514953,0.025278726209931837,Iran,Father and Daughter
space,-0.026275108998301155,0.03535672334122378,Iran,Father and Daughter
male,-0.029224693442651408,0.00018573010915916906,Iran,Father and Daughter
function,-0.030593676901104226,0.0034505329317656135,Iran,Father and Daughter
differ,-0.033469714546480206,4.912431264082141e-06,Iran,Father and Daughter
female,-0.05378115787556875,4.1869242307308086e-08,Iran,Father and Daughter
family,-0.09578893368066732,7.768577999299484e-23,Iran,Father and Daughter
const,0.12500000000000003,0.0,Iran,Father and Son
male,0.08182579009371302,1.6950114078522658e-27,Iran,Father and Son
insight,0.06093364116689695,7.178228299568732e-21,Iran,Father and Son
assent,0.05930082171034928,1.1271896677580833e-08,Iran,Father and Son
family,0.043659567825857525,3.0604050698118646e-06,Iran,Father and Son
drives,0.037917401615000616,0.005767804819280497,Iran,Father and Son
hear,0.0371797982788658,0.0399395670696812,Iran,Father and Son
focuspresent,0.030278344129812496,1.697072040104054e-05,Iran,Father and Son
negate,0.026541148663101942,4.385192287745166e-10,Iran,Father and Son
auxverb,0.025107081384673994,5.750227844818927e-06,Iran,Father and Son
discrep,0.021348741525338884,4.0986296527105125e-08,Iran,Father and Son
prep,0.018227791100865046,5.2886707824023286e-05,Iran,Father and Son
differ,0.016474004447467543,0.019364437368413367,Iran,Father and Son
tentat,0.015701557013526185,1.0495253365103034e-07,Iran,Father and Son
sad,0.01171244067972843,0.005201525104744061,Iran,Father and Son
anger,0.010783021698446861,0.0003501636513263676,Iran,Father and Son
adverb,0.00990134181800768,0.0004231256658911286,Iran,Father and Son
body,0.009832199961506648,0.03298550322513135,Iran,Father and Son
anx,0.009528853311976426,0.005467621834781016,Iran,Father and Son
focuspast,0.008714241608127574,0.002730473637020709,Iran,Father and Son
cause,0.008186752552067663,0.02397572170433847,Iran,Father and Son
quant,0.006117848605703314,0.021982401497201286,Iran,Father and Son
home,-0.007508349533860456,0.008722305548498696,Iran,Father and Son
power,-0.013366758645686894,0.018062533970370796,Iran,Father and Son
verb,-0.028463282393135288,0.0024476497137631737,Iran,Father and Son
friend,-0.029308390602197004,1.0478066677819364e-06,Iran,Father and Son
informal,-0.049505241687913426,2.941626196077029e-05,Iran,Father and Son
social,-0.05374064133378551,2.413046002844448e-09,Iran,Father and Son
function,-0.05733054184979181,1.226673024890253e-08,Iran,Father and Son
cogproc,-0.0616229235935,8.157270103838469e-08,Iran,Father and Son
female,-0.09839409208356731,2.056088937298944e-25,Iran,Father and Son
female,0.15131614754121508,6.154318369328368e-53,Iran,Mother and Daughter
const,0.12499999999999985,0.0,Iran,Mother and Daughter
affiliation,0.07012842907103595,2.6878022749720655e-05,Iran,Mother and Daughter
informal,0.06824677796967145,3.504919528930651e-08,Iran,Mother and Daughter
hear,0.06374207443512439,0.0007455977167338533,Iran,Mother and Daughter
feel,0.042980089268898625,0.00010338131464042754,Iran,Mother and Daughter
see,0.039345457304063386,0.004369442192764533,Iran,Mother and Daughter
auxverb,0.0323252148183579,2.2632047771980182e-08,Iran,Mother and Daughter
focuspresent,0.032041056283470856,1.3089941692290401e-05,Iran,Mother and Daughter
negate,0.029792741881065062,1.9972040101006567e-11,Iran,Mother and Daughter
conj,0.024626625873888332,2.7939716181797567e-12,Iran,Mother and Daughter
adverb,0.017423223499376327,2.883834422728293e-09,Iran,Mother and Daughter
anx,0.015584958201634467,1.3601142757663915e-05,Iran,Mother and Daughter
sad,0.01307313825027779,0.0028221380108885267,Iran,Mother and Daughter
tentat,0.011225951391553598,0.00027107976439299706,Iran,Mother and Daughter
risk,0.008016631847098724,0.020081515092214144,Iran,Mother and Daughter
focuspast,0.007896681357935179,0.009315756063059892,Iran,Mother and Daughter
cause,0.00787694749219505,0.03753346302108131,Iran,Mother and Daughter
home,-0.007991247466045164,0.0075190532081163275,Iran,Mother and Daughter
adj,-0.010111117865531745,0.001244468964840632,Iran,Mother and Daughter
netspeak,-0.012448303535573347,3.0041259026827068e-06,Iran,Mother and Daughter
differ,-0.014882262446032898,0.043086811164134736,Iran,Mother and Daughter
bio,-0.017219894479603787,0.02154589383294286,Iran,Mother and Daughter
nonflu,-0.02019389104268116,0.00012830269894244055,Iran,Mother and Daughter
verb,-0.02292268043414547,0.019463653754646936,Iran,Mother and Daughter
cogproc,-0.024466830262617152,0.04136202401836453,Iran,Mother and Daughter
social,-0.05403724991996788,9.154461834237062e-09,Iran,Mother and Daughter
family,-0.05475602299412307,2.0991016229881444e-08,Iran,Mother and Daughter
function,-0.06623595724188777,2.9612856251848795e-10,Iran,Mother and Daughter
assent,-0.06730710072926305,5.444239984640284e-10,Iran,Mother and Daughter
percept,-0.07088463451877274,0.006309950295435474,Iran,Mother and Daughter
affect,0.1655480476931547,5.705788381821253e-12,Iran,Mother and Son
const,0.1250000000000002,0.0,Iran,Mother and Son
family,0.09374253914620688,5.417498224200803e-22,Iran,Mother and Son
informal,0.07245270797536572,3.930354770927592e-09,Iran,Mother and Son
female,0.050564414825574104,2.44773470626287e-07,Iran,Mother and Son
auxverb,0.029341200356812508,3.327429343469069e-07,Iran,Mother and Son
bio,0.029013798741652642,9.861194881326002e-05,Iran,Mother and Son
negate,0.025315906234978362,9.921165207926026e-09,Iran,Mother and Son
male,0.023759231307585633,0.0023443289941387996,Iran,Mother and Son
prep,0.021460421835564333,4.580059984969e-06,Iran,Mother and Son
power,0.02103128214652489,0.00034076991242111966,Iran,Mother and Son
insight,0.015995132061409043,0.017706614427730936,Iran,Mother and Son
focuspresent,0.01442654555261242,0.048369675175301545,Iran,Mother and Son
reward,0.012344980067218155,0.042783438314184845,Iran,Mother and Son
discrep,0.011716060433362605,0.0037251197607391334,Iran,Mother and Son
article,0.010476308322254565,0.02434025193592807,Iran,Mother and Son
conj,0.008709673201483591,0.012884274679251146,Iran,Mother and Son
adverb,0.008514489053018059,0.0035054555810159357,Iran,Mother and Son
tentat,0.007003155482098198,0.022316718846540372,Iran,Mother and Son
